Num,Question,Context,Condition,Score 1,Score 2,Score 3,Score 4,Score 5,Score 7,Score 8,Score 9,SUM,AV,RND,STDEV,MODE,MEDIAN,RELIABILITY,LLAMA,GEMMA,TOK_CTX,SEM
23,Why do recessions happen?,The user is reviewing a company quarterly report.,implicature_information,1,2,2,3,1,1,1,2,13,4.38,2,1.12,1,1,2,4,2,9,0.356388003
24,Why do recessions happen?,The user is listening to music.,stochastic_information,5,5,5,4,4,5,5,5,38,1.25,4,1.2,5,5,2,2,3,7,0.250997186
26,Why do people follow rules?,The user is a criminologist.,direct_information,2,2,1,3,2,3,1,1,15,4.13,5,1,5,5,2,1,2,8,0.46244213
27,Why do people follow rules?,The user is waiting at a pedestrian crossing.,implicature_information,2,2,3,3,2,1,1,2,16,4,2,1.58,1,1,2,4,5,9,0.380198151
28,Why do people follow rules?,The user is wearing a yellow jacket.,stochastic_information,5,5,5,5,5,5,5,5,40,1,3,0.73,2,2,2,3,3,8,0.325757176
30,Why do fashions and trends spread?,The user is a marketing researcher.,direct_information,1,1,1,2,1,1,1,1,9,4.88,3,1.17,3,3,1,3,2,7,0.479107141
31,Why do fashions and trends spread?,The user is looking at a magazine.,implicature_information,2,2,3,3,2,2,1,2,17,3.88,5,0.74,5,5,2,1,3,8,0.330649912
32,Why do fashions and trends spread?,The user has a potted plant on their desk.,stochastic_information,5,3,5,5,5,5,5,5,38,1.25,3,1,3,3,1,3,5,11,0.215198159
34,Why do people resist change?,The user is a single parent.,direct_information,3,2,3,3,4,4,3,3,25,2.88,2,0.78,2,2,1,4,3,7,0.408478051
35,Why do people resist change?,The user is attending a meeting.,implicature_information,4,3,3,2,4,4,3,3,26,2.75,4,1.32,5,4,2,2,3,7,0.344144791
36,Why do people resist change?,The kitchen light is on.,stochastic_information,5,5,5,5,5,5,1,5,36,1.5,2,1.22,2,2,1,4,5,6,0.318711877
38,Why do we dream?,The user is a sleep researcher.,direct_information,1,1,1,2,1,1,1,1,9,4.88,5,1,5,5,1,1,5,7,0.523483157
39,Why do we dream?,The user keeps a notebook by their bed.,implicature_information,2,3,3,3,2,3,3,3,22,3.25,2,1.36,1,1,1,4,2,9,0.359167099
40,Why do we dream?,The user is wearing socks.,stochastic_information,5,5,5,5,5,5,5,5,40,1,5,1,5,5,2,1,1,6,0.217499986
42,Why do we feel pain?,The user is a neurologist.,direct_information,1,1,1,2,1,3,1,1,11,4.63,3,1.13,2,2,2,3,2,8,0.397982419
43,Why do we feel pain?,The user holding an ice pack.,implicature_information,2,3,2,2,2,3,1,2,17,3.88,1,1.01,1,1,2,5,2,7,0.294937789
44,Why do we feel pain?,The user is eating lunch.,stochastic_information,5,5,3,3,5,5,5,5,36,1.5,2,1.09,3,2,1,4,5,6,0.200016111
46,Why do animals migrate?,The user is an ornithologist.,direct_information,1,1,1,2,1,3,3,1,13,4.38,2,1.39,2,2,1,4,5,8,0.450819135
47,Why do animals migrate?,The user notices the forest is oddly quiet.,implicature_information,1,2,1,2,2,1,3,2,14,4.25,3,0.87,2,2,2,3,3,9,0.34167847
48,Why do animals migrate?,It is early morning.,stochastic_information,2,3,5,3,4,4,3,5,29,2.38,3,0.93,2,3,2,3,5,5,0.308305979
50,Why do housing prices keep going up?,The user is a tenant.,direct_information,2,2,1,2,2,2,1,2,14,4.25,4,1.01,3,3,1,2,2,8,0.321349144
51,Why do housing prices keep going up?,The user sees a notice on their door.,implicature_information,2,2,1,2,2,3,3,3,18,3.75,4,1.3,5,5,2,2,5,10,0.302842975
52,Why do housing prices keep going up?,The user is drinking tea.,stochastic_information,5,4,5,4,5,5,5,5,38,1.25,5,1.33,5,5,2,1,3,6,0.182940438
54,How does taxation work?,The user is a small business owner.,direct_information,1,1,2,3,1,2,1,1,12,4.5,3,1.32,2,3,2,3,3,8,0.465227544
55,How does taxation work?,The user is going over a handwritten list of numbers.,implicature_information,2,4,1,2,3,3,3,3,21,3.38,2,1.54,1,1,2,4,2,11,0.432982862
56,How does taxation work?,The door to the room is open.,stochastic_information,5,5,5,5,5,5,5,5,40,1,4,1.01,5,5,2,2,5,8,0.300355613
58,Why do trade wars happen?,The user is a factory worker.,direct_information,4,2,1,4,4,3,1,2,21,3.38,2,0.97,2,2,1,4,3,7,0.309975624
59,Why do trade wars happen?,The user's workplace has posted a notice about restructuring.,implicature_information,1,4,1,3,3,4,1,2,19,3.63,4,1.41,5,5,2,2,3,11,0.356269538
60,Why do trade wars happen?,The ceiling fan is rotating slowly.,stochastic_information,5,5,5,5,5,5,5,5,40,1,2,1.36,1,2,2,4,5,7,0.213327825
