model,pooling,layer,standardised,contrast,ci_lo,ci_hi
deepseek,last_token_hs,11,True,-0.07761325873434544,-0.11617859145626426,-0.03087089490145445
deepseek,last_token_hs,12,False,-0.018283575773239136,-0.027403730154037475,-0.006744515895843506
deepseek,last_token_hs,12,True,-0.08341289823874831,-0.12705254117026926,-0.031975520122796315
deepseek,last_token_hs,13,False,-0.016369163990020752,-0.027858345955610275,-0.003481271117925648
deepseek,last_token_hs,13,True,-0.08527441415935755,-0.1283034546300769,-0.030129653029143822
deepseek,last_token_hs,14,False,-0.014411598443984985,-0.026621169596910476,-0.0007257342338562057
deepseek,last_token_hs,14,True,-0.09963702037930489,-0.15050875060260296,-0.036300869006663565
deepseek,last_token_hs,15,False,-0.011591851711273193,-0.02354086861014366,0.0010835871100425718
deepseek,last_token_hs,15,True,-0.10517692076973617,-0.1597206335514784,-0.04355707988142968
deepseek,last_token_hs,16,False,-0.010413050651550293,-0.02433921694755554,0.0030399598181247685
deepseek,last_token_hs,16,True,-0.11184312589466572,-0.16396385794505478,-0.04839682597666979
deepseek,last_token_hs,17,False,-0.012409836053848267,-0.027385125309228896,0.002651138603687281
deepseek,last_token_hs,17,True,-0.08889569528400898,-0.13498285142704844,-0.0333533669821918
deepseek,last_token_hs,18,False,-0.014152169227600098,-0.02753002643585205,-0.00030430406332016067
deepseek,last_token_hs,18,True,-0.08606757782399654,-0.12925693364813923,-0.029967259708791986
deepseek,last_token_hs,19,False,-0.01832711696624756,-0.033578837662935256,-0.0021522887051105624
deepseek,last_token_hs,19,True,-0.0783108165487647,-0.11512516103684903,-0.026443752925843004
deepseek,last_token_hs,20,False,-0.01822468638420105,-0.03167443424463272,-0.004009940475225452
deepseek,last_token_hs,20,True,-0.06425082730129361,-0.09365202735643834,-0.024086451809853315
deepseek,last_token_hs,21,False,-0.019088774919509888,-0.035759902000427245,-0.0022520311176776977
deepseek,last_token_hs,21,True,-0.0546266904566437,-0.08001594890956767,-0.01937213828787208
deepseek,last_token_hs,22,False,-0.017849206924438477,-0.03336034193634987,-0.001555154472589499
deepseek,last_token_hs,22,True,-0.05219692038372159,-0.07643151292577385,-0.017956929234787825
deepseek,last_token_hs,23,False,-0.015226155519485474,-0.03032471686601639,0.00011027380824088982
deepseek,last_token_hs,23,True,-0.044445558451116085,-0.06728843724122271,-0.014718363201245683
deepseek,last_token_hs,24,False,-0.015459299087524414,-0.030730200558900835,-0.00042192712426185666
deepseek,last_token_hs,24,True,-0.042326537892222404,-0.06540567632764578,-0.014666201546788233
deepseek,last_token_hs,25,False,-0.01663792133331299,-0.02966873422265053,-0.002676347643136981
deepseek,last_token_hs,25,True,-0.04165491531603038,-0.06334767744410782,-0.014503271831199527
deepseek,last_token_hs,26,False,-0.01885262131690979,-0.031214091181755065,-0.004864846915006639
deepseek,last_token_hs,26,True,-0.039950481383129954,-0.06197691126726568,-0.015360889569274151
deepseek,last_token_hs,27,False,-0.02005097270011902,-0.030940966308116914,-0.006993993371725084
deepseek,last_token_hs,27,True,-0.04132983239287569,-0.06286005973815918,-0.016173353139311078
deepseek,last_token_hs,28,False,-0.01951497793197632,-0.029789279401302337,-0.0072946570813655865
deepseek,last_token_hs,28,True,-0.04043652780819684,-0.06089395808521658,-0.017383425589650878
deepseek,last_token_hs,29,False,-0.019087761640548706,-0.02969208508729935,-0.006476493179798128
deepseek,last_token_hs,29,True,-0.04100662504788488,-0.06170957488939166,-0.016872758418321615
deepseek,last_token_hs,30,False,-0.018460959196090698,-0.02776317670941353,-0.007984908670186997
deepseek,last_token_hs,30,True,-0.04275724638137035,-0.0645441071363166,-0.018984201969578878
deepseek,mean_pool_hs,0,False,-0.02550804615020752,-0.040179242938756944,-0.006913013756275179
deepseek,mean_pool_hs,0,True,-0.018329881713725626,-0.048062945157289504,0.013457684637978666
deepseek,mean_pool_hs,1,False,-0.0006769001483917236,-0.0013270393013954163,0.00010463893413543674
deepseek,mean_pool_hs,1,True,-0.014872811443638057,-0.04277371931821108,0.017586189415305847
deepseek,mean_pool_hs,2,False,0.0003673732280731201,-4.282817244529724e-05,0.0006812423467636109
deepseek,mean_pool_hs,2,True,0.004470862011658028,-0.0699956084601581,0.0857969676144421
deepseek,mean_pool_hs,3,False,0.00035634636878967285,-4.448294639587402e-05,0.0006644897162914276
deepseek,mean_pool_hs,3,True,-0.0013487432152032852,-0.06476012459024787,0.06463580634444951
deepseek,mean_pool_hs,4,False,0.0003158450126647949,-6.928816437721252e-05,0.0006142035126686096
deepseek,mean_pool_hs,4,True,-0.009498694387730211,-0.06422862177714705,0.04604489123448729
deepseek,mean_pool_hs,5,False,0.0002740621566772461,-0.00010412856936454771,0.000563787668943405
deepseek,mean_pool_hs,5,True,-0.015164483687840402,-0.0609239530749619,0.03347115493379533
deepseek,mean_pool_hs,6,False,0.00018128752708435059,-0.00017822012305259704,0.0004875235259532928
deepseek,mean_pool_hs,6,True,-0.024427630007267,-0.073999157641083,0.026909699290990796
deepseek,mean_pool_hs,7,False,8.019804954528809e-05,-0.00026530101895332335,0.0004128679633140563
deepseek,mean_pool_hs,7,True,-0.02961156703531742,-0.08114730045199395,0.023681712616235015
deepseek,mean_pool_hs,8,False,-7.003545761108398e-05,-0.00038741454482078553,0.0002785407006740569
deepseek,mean_pool_hs,8,True,-0.04225785657763481,-0.090194190479815,0.00912845358252524
deepseek,mean_pool_hs,9,False,-0.00024083256721496582,-0.0005517832934856415,0.00016283020377159114
deepseek,mean_pool_hs,9,True,-0.05138208344578743,-0.09747135359793901,0.00039034476503729804
deepseek,mean_pool_hs,10,False,-0.0004329383373260498,-0.000771012157201767,3.852024674415563e-05
deepseek,mean_pool_hs,10,True,-0.06711084768176079,-0.11158860614523292,-0.016990929283201697
deepseek,mean_pool_hs,11,False,-0.0005865097045898438,-0.0009828604757785796,-1.4136731624603696e-05
deepseek,mean_pool_hs,11,True,-0.07166101224720478,-0.11703063882887363,-0.018950716964900496
deepseek,mean_pool_hs,12,False,-0.0006912946701049805,-0.0010961852967739105,-9.357407689094555e-05
deepseek,mean_pool_hs,12,True,-0.07688449136912823,-0.12371448772028089,-0.024283771216869355
deepseek,mean_pool_hs,13,False,-0.0008196532726287842,-0.0012741707265377044,-0.00013932436704635625
deepseek,mean_pool_hs,13,True,-0.07755690068006516,-0.12470498103648424,-0.025319987069815402
deepseek,mean_pool_hs,14,False,-0.001100778579711914,-0.0016687437891960144,-0.0002656362950801851
deepseek,mean_pool_hs,14,True,-0.07913331314921379,-0.12835188191384078,-0.025446341373026374
deepseek,mean_pool_hs,15,False,-0.0014210939407348633,-0.002119807153940201,-0.00038176253437995945
deepseek,mean_pool_hs,15,True,-0.07826860249042511,-0.12652368135750294,-0.024848511070013048
deepseek,mean_pool_hs,16,False,-0.001873612403869629,-0.002827923744916916,-0.0005109652876853945
deepseek,mean_pool_hs,16,True,-0.07593029271811247,-0.12216697540134192,-0.025383032392710447
deepseek,mean_pool_hs,17,False,-0.0024577081203460693,-0.003604205697774887,-0.000778389722108841
deepseek,mean_pool_hs,17,True,-0.06828105822205544,-0.11296483706682921,-0.02217806242406369
deepseek,mean_pool_hs,18,False,-0.003067106008529663,-0.0046689420938491825,-0.0008801586925983442
deepseek,mean_pool_hs,18,True,-0.06978526338934898,-0.11596247972920537,-0.022039684280753136
deepseek,mean_pool_hs,19,False,-0.0043728649616241455,-0.006439115107059479,-0.0013923294842243196
deepseek,mean_pool_hs,19,True,-0.06913513969630003,-0.11329571139067411,-0.0221417042426765
deepseek,mean_pool_hs,20,False,-0.005820482969284058,-0.008502199500799178,-0.0018711045384407047
deepseek,mean_pool_hs,20,True,-0.06582147860899568,-0.10784566588699818,-0.02264943774789572
deepseek,mean_pool_hs,21,False,-0.007394582033157349,-0.010788769274950028,-0.002417815476655962
deepseek,mean_pool_hs,21,True,-0.062171953613869846,-0.10042641321197152,-0.020860711671412006
deepseek,mean_pool_hs,22,False,-0.008963167667388916,-0.013141201436519622,-0.0029886506497859965
deepseek,mean_pool_hs,22,True,-0.0635847826488316,-0.10190872633829713,-0.023008514055982233
deepseek,mean_pool_hs,23,False,-0.011402308940887451,-0.016675589978694914,-0.003961914032697678
deepseek,mean_pool_hs,23,True,-0.06715006369631737,-0.10631106598302723,-0.02581822536885739
deepseek,mean_pool_hs,24,False,-0.01215130090713501,-0.017772004008293152,-0.004309558123350145
deepseek,mean_pool_hs,24,True,-0.06813294468156528,-0.10790590895339847,-0.02595516936853528
deepseek,mean_pool_hs,25,False,-0.011781692504882812,-0.01727824881672859,-0.0039445735514163985
deepseek,mean_pool_hs,25,True,-0.07125842364621349,-0.1122285982593894,-0.028360378183424476
deepseek,mean_pool_hs,26,False,-0.011604666709899902,-0.017672066390514374,-0.0036359511315822656
deepseek,mean_pool_hs,26,True,-0.06949225923744962,-0.10911286044865846,-0.027227681502699858
deepseek,mean_pool_hs,27,False,-0.011202424764633179,-0.017100108414888383,-0.003201878070831299
deepseek,mean_pool_hs,27,True,-0.06995485268998891,-0.1094069748185575,-0.027114869281649592
deepseek,mean_pool_hs,28,False,-0.009472578763961792,-0.01482018455862999,-0.002658703178167344
deepseek,mean_pool_hs,28,True,-0.06918082048650831,-0.10755894528701901,-0.027377686835825445
deepseek,mean_pool_hs,29,False,-0.009240537881851196,-0.014549730718135834,-0.002425805479288102
deepseek,mean_pool_hs,29,True,-0.06986338400747627,-0.10986248413100838,-0.026281057298183443
deepseek,mean_pool_hs,30,False,-0.0018185973167419434,-0.0048706836998462675,0.001139735430479049
deepseek,mean_pool_hs,30,True,-0.06081092078238726,-0.10553137734532356,-0.013068698253482582
deepseek_v2_lite,last_token_hs,0,False,0.0,0.0,0.0
deepseek_v2_lite,last_token_hs,0,True,0.0,0.0,0.0
deepseek_v2_lite,last_token_hs,1,False,-0.00015613436698913574,-0.00028177574276924135,4.813075065612752e-07
deepseek_v2_lite,last_token_hs,1,True,-0.02522389590740204,-0.09160234369337558,0.05158307282254098
deepseek_v2_lite,last_token_hs,2,False,-0.0006144940853118896,-0.0011533550918102265,-5.096122622489929e-05
deepseek_v2_lite,last_token_hs,2,True,-0.03586423024535179,-0.08556265449151397,0.006320340372621996
deepseek_v2_lite,last_token_hs,3,False,-0.0006933808326721191,-0.0012597106397151947,-5.6636333465576215e-05
deepseek_v2_lite,last_token_hs,3,True,-0.04955560155212879,-0.10212399493902921,0.0046217218041419966
deepseek_v2_lite,last_token_hs,4,False,-0.0011888742446899414,-0.0019996434450149534,-0.000257311761379242
deepseek_v2_lite,last_token_hs,4,True,-0.036194716580212116,-0.08925829958170652,0.02555450098589061
deepseek_v2_lite,last_token_hs,5,False,-0.0012096166610717773,-0.0019692622125148775,-0.00029508247971534737
deepseek_v2_lite,last_token_hs,5,True,-0.048228545114398,-0.10719826826825737,0.024980910960584878
deepseek_v2_lite,last_token_hs,6,False,-0.0021830499172210693,-0.0037208348512649536,-0.0002475224435329442
deepseek_v2_lite,last_token_hs,6,True,-0.05894778296351433,-0.11855766139924526,0.012103810952976335
deepseek_v2_lite,last_token_hs,7,False,-0.004486948251724243,-0.007544775307178497,-0.0003264583647251153
deepseek_v2_lite,last_token_hs,7,True,-0.057880504755303264,-0.10309353806078433,0.0020103784278034833
deepseek_v2_lite,last_token_hs,8,False,-0.004575252532958984,-0.007422333955764771,-0.0006491020321846014
deepseek_v2_lite,last_token_hs,8,True,-0.06200240252655931,-0.11800670018419623,0.004027537349611519
deepseek_v2_lite,last_token_hs,9,False,-0.010179996490478516,-0.013604596257209778,-0.004537317901849748
deepseek_v2_lite,last_token_hs,9,True,-0.08053794410079718,-0.1323775821365416,-0.017974690441042194
deepseek_v2_lite,last_token_hs,10,False,-0.01184871792793274,-0.01621476262807846,-0.0048303700983524335
deepseek_v2_lite,last_token_hs,10,True,-0.09129511704668403,-0.14543382190167903,-0.023324198741465827
deepseek_v2_lite,last_token_hs,11,False,-0.013694018125534058,-0.0187987357378006,-0.005646604299545289
deepseek_v2_lite,last_token_hs,11,True,-0.09825300145894289,-0.15197218880057334,-0.027747955545783062
deepseek_v2_lite,last_token_hs,12,False,-0.017052829265594482,-0.02379627525806427,-0.006602454930543901
deepseek_v2_lite,last_token_hs,12,True,-0.10597593896090984,-0.15616436330601574,-0.037784295435994916
deepseek_v2_lite,last_token_hs,13,False,-0.02082747220993042,-0.029888999462127686,-0.00779818668961525
deepseek_v2_lite,last_token_hs,13,True,-0.10157673060894012,-0.14704382503405214,-0.035081950481981046
deepseek_v2_lite,last_token_hs,14,False,-0.028838515281677246,-0.04490034207701683,-0.0064646951854229
deepseek_v2_lite,last_token_hs,14,True,-0.08692366164177656,-0.1305867310613394,-0.028235250897705566
deepseek_v2_lite,last_token_hs,15,False,-0.03525346517562866,-0.055133970081806184,-0.008637666702270511
deepseek_v2_lite,last_token_hs,15,True,-0.08097832649946213,-0.12670930232852698,-0.02323023993521929
deepseek_v2_lite,last_token_hs,16,False,-0.035072386264801025,-0.055761910229921344,-0.00673092305660248
deepseek_v2_lite,last_token_hs,16,True,-0.07748166052624583,-0.12380964900366961,-0.021273534419015062
deepseek_v2_lite,last_token_hs,17,False,-0.036984026432037354,-0.05602756813168526,-0.008755979686975484
deepseek_v2_lite,last_token_hs,17,True,-0.06193397694732994,-0.10606438345275819,-0.01024234453216195
deepseek_v2_lite,last_token_hs,18,False,-0.03866395354270935,-0.05519186481833458,-0.012635658681392676
deepseek_v2_lite,last_token_hs,18,True,-0.05819778284057975,-0.09924901500344277,-0.009670659806579359
deepseek_v2_lite,last_token_hs,19,False,-0.03988164663314819,-0.05753531754016876,-0.01272637173533441
deepseek_v2_lite,last_token_hs,19,True,-0.059935860335826874,-0.10079969933722167,-0.013454312179237616
deepseek_v2_lite,last_token_hs,20,False,-0.0397050678730011,-0.05888028368353844,-0.012214562296867381
deepseek_v2_lite,last_token_hs,20,True,-0.03791240765713155,-0.06647664024785627,-0.003672998282127083
deepseek_v2_lite,last_token_hs,21,False,-0.0398714542388916,-0.06022352799773216,-0.011861278861761094
deepseek_v2_lite,last_token_hs,21,True,-0.03829077212139964,-0.06740880105644464,-0.003690563770942398
deepseek_v2_lite,last_token_hs,22,False,-0.036198824644088745,-0.05399817749857903,-0.010475620627403261
deepseek_v2_lite,last_token_hs,22,True,-0.037705242866650224,-0.06733647038054187,-0.0046131131239235445
deepseek_v2_lite,last_token_hs,23,False,-0.03648173809051514,-0.05584812238812446,-0.009022375196218494
deepseek_v2_lite,last_token_hs,23,True,-0.03334500337950885,-0.06163062751293182,-0.003021706221625225
deepseek_v2_lite,last_token_hs,24,False,-0.02727222442626953,-0.04326614886522293,-0.0050097726285457615
deepseek_v2_lite,last_token_hs,24,True,-0.03222016908694059,-0.05985024548135698,-0.0034870285846409425
deepseek_v2_lite,last_token_hs,25,False,-0.02146098017692566,-0.034421485662460324,-0.004309020936489106
deepseek_v2_lite,last_token_hs,25,True,-0.028381398878991604,-0.05429410254582763,-0.0012886298820376407
deepseek_v2_lite,last_token_hs,26,False,-0.013275623321533203,-0.02111540213227272,-0.0022556744515895852
deepseek_v2_lite,last_token_hs,26,True,-0.02755842451006174,-0.05346843628212809,-0.0011577217606827648
deepseek_v2_lite,last_token_hs,27,False,-0.014057189226150513,-0.023263409733772278,-0.0011561982333660162
deepseek_v2_lite,last_token_hs,27,True,-0.0269467462785542,-0.05524016236886382,0.0018698694650083707
deepseek_v2_lite,mean_pool_hs,0,False,-0.002764075994491577,-0.013416113704442978,0.007267563045024864
deepseek_v2_lite,mean_pool_hs,0,True,-0.017275264719501138,-0.04585590902715921,0.013932245178148148
deepseek_v2_lite,mean_pool_hs,1,False,1.4603137969970703e-06,-0.0029019176959991454,0.0027573682367801663
deepseek_v2_lite,mean_pool_hs,1,True,-0.010853414540179074,-0.04016617136076093,0.022349617723375546
deepseek_v2_lite,mean_pool_hs,2,False,-0.000303417444229126,-0.0034313946962356567,0.002632144838571548
deepseek_v2_lite,mean_pool_hs,2,True,-0.01011482602916658,-0.04506581774912775,0.031055722571909427
deepseek_v2_lite,mean_pool_hs,3,False,-0.0017704963684082031,-0.003454189747571945,0.00012516975402831898
deepseek_v2_lite,mean_pool_hs,3,True,0.007193300407379866,-0.08719057571142912,0.105073827621527
deepseek_v2_lite,mean_pool_hs,4,False,-3.3080577850341797e-06,-5.3353607654571535e-06,-6.854534149169922e-07
deepseek_v2_lite,mean_pool_hs,4,True,0.046109311282634735,-0.28261835109442474,0.4246512313722631
deepseek_v2_lite,mean_pool_hs,5,False,-5.692243576049805e-06,-1.0669231414794922e-05,5.088746547698954e-07
deepseek_v2_lite,mean_pool_hs,5,True,0.040543125942349434,-0.2699354611802846,0.39377747059334056
deepseek_v2_lite,mean_pool_hs,6,False,-9.119510650634766e-06,-1.5319138765335082e-05,-1.2509524822235114e-06
deepseek_v2_lite,mean_pool_hs,6,True,0.028772547841072083,-0.26465960377827286,0.35820747942198067
deepseek_v2_lite,mean_pool_hs,7,False,-1.4632940292358398e-05,-2.3574382066726684e-05,-3.511458635330205e-06
deepseek_v2_lite,mean_pool_hs,7,True,0.019083593040704727,-0.25850627003237603,0.3255820738500915
deepseek_v2_lite,mean_pool_hs,8,False,-1.576542854309082e-05,-2.4706125259399414e-05,-3.9920210838317885e-06
deepseek_v2_lite,mean_pool_hs,8,True,0.013985656201839447,-0.2593507300596684,0.31869814756792036
deepseek_v2_lite,mean_pool_hs,9,False,-2.3305416107177734e-05,-3.4663081169128415e-05,-7.746368646621706e-06
deepseek_v2_lite,mean_pool_hs,9,True,0.006021296605467796,-0.2504646176006645,0.2947992867324501
deepseek_v2_lite,mean_pool_hs,10,False,-3.0338764190673828e-05,-4.798993468284607e-05,-7.181614637374879e-06
deepseek_v2_lite,mean_pool_hs,10,True,0.004426250234246254,-0.24292481010779737,0.2769599246326834
deepseek_v2_lite,mean_pool_hs,11,False,-3.692507743835449e-05,-5.904287099838257e-05,-8.580088615417483e-06
deepseek_v2_lite,mean_pool_hs,11,True,6.51925802230835e-06,-0.23187079881317912,0.2617527660913765
deepseek_v2_lite,mean_pool_hs,12,False,-5.513429641723633e-05,-9.332075715065002e-05,-7.032603025436402e-06
deepseek_v2_lite,mean_pool_hs,12,True,-0.013021470978856087,-0.2327710439451039,0.23692311556078488
deepseek_v2_lite,mean_pool_hs,13,False,-6.696581840515137e-05,-0.00010970905423164367,-1.2433528900146506e-05
deepseek_v2_lite,mean_pool_hs,13,True,-0.011818133294582367,-0.2196530528832227,0.22323370287194846
deepseek_v2_lite,mean_pool_hs,14,False,-7.814168930053711e-05,-0.00012732595205307008,-1.4825165271759048e-05
deepseek_v2_lite,mean_pool_hs,14,True,-0.007747199386358261,-0.20718510765582324,0.2083457764238118
deepseek_v2_lite,mean_pool_hs,15,False,-0.00010278820991516113,-0.0001666828989982605,-2.0286440849304207e-05
deepseek_v2_lite,mean_pool_hs,15,True,-0.00786537304520607,-0.19658886957913638,0.19230261486954986
deepseek_v2_lite,mean_pool_hs,16,False,-0.00012230873107910156,-0.00020371302962303163,-1.8952041864395144e-05
deepseek_v2_lite,mean_pool_hs,16,True,-0.008692272007465363,-0.186280457675457,0.18124961280263957
deepseek_v2_lite,mean_pool_hs,17,False,-0.00018742680549621582,-0.0002888776361942291,-5.138739943504335e-05
deepseek_v2_lite,mean_pool_hs,17,True,-0.01381203904747963,-0.17586651914753018,0.15417029364034526
deepseek_v2_lite,mean_pool_hs,18,False,-0.0002461075782775879,-0.00037614330649375914,-6.481558084487922e-05
deepseek_v2_lite,mean_pool_hs,18,True,-0.014945469796657562,-0.16513544311746955,0.1386699602939188
deepseek_v2_lite,mean_pool_hs,19,False,-0.0003019571304321289,-0.0004797942936420441,-6.391704082489025e-05
deepseek_v2_lite,mean_pool_hs,19,True,-0.021625136956572533,-0.16321724690496922,0.12165369112044572
deepseek_v2_lite,mean_pool_hs,20,False,-0.0003712475299835205,-0.0005834966897964478,-8.74981284141541e-05
deepseek_v2_lite,mean_pool_hs,20,True,-0.018901744857430458,-0.14054140206426383,0.1078404804226011
deepseek_v2_lite,mean_pool_hs,21,False,-0.0004884898662567139,-0.0007661551237106324,-0.00010866075754165669
deepseek_v2_lite,mean_pool_hs,21,True,-0.02464289776980877,-0.13456059377640484,0.091594367288053
deepseek_v2_lite,mean_pool_hs,22,False,-0.0005734562873840332,-0.0009826883673667909,-6.81243836879733e-05
deepseek_v2_lite,mean_pool_hs,22,True,-0.02894027717411518,-0.13322129668667912,0.07988579515367746
deepseek_v2_lite,mean_pool_hs,23,False,-0.0006958544254302979,-0.001222403347492218,-5.824789404869086e-05
deepseek_v2_lite,mean_pool_hs,23,True,-0.030496688559651375,-0.12549493703991174,0.0697261199355125
deepseek_v2_lite,mean_pool_hs,24,False,-0.0011216402053833008,-0.0018500715494155883,-0.00018067881464958212
deepseek_v2_lite,mean_pool_hs,24,True,-0.04219083487987518,-0.12465548114851117,0.04745477912947535
deepseek_v2_lite,mean_pool_hs,25,False,-0.0018728375434875488,-0.003260345757007599,-9.659826755523732e-05
deepseek_v2_lite,mean_pool_hs,25,True,-0.0463044922798872,-0.11019648825749755,0.02224512565881013
deepseek_v2_lite,mean_pool_hs,26,False,-0.0023436248302459717,-0.004270720481872559,9.87276434898373e-06
deepseek_v2_lite,mean_pool_hs,26,True,-0.051745661010500044,-0.10160757582634687,-0.0011758229695260573
deepseek_v2_lite,mean_pool_hs,27,False,-0.00202295184135437,-0.00568397045135498,0.0020720355212688443
deepseek_v2_lite,mean_pool_hs,27,True,-0.035820188000798225,-0.09946995079517365,0.03043160522356629
llama,last_token_hs,0,False,0.0,0.0,0.0
llama,last_token_hs,0,True,0.0,0.0,0.0
llama,last_token_hs,1,False,-0.0013726651668548584,-0.002927812188863754,0.0006028950214385985
llama,last_token_hs,1,True,-0.002105561550706625,-0.1199805511161685,0.11697363900020717
llama,last_token_hs,2,False,-0.002193659543991089,-0.00458352044224739,0.0006625205278396606
llama,last_token_hs,2,True,-0.01465162169188261,-0.11633545532822609,0.0958892330527305
llama,last_token_hs,3,False,-0.0020371675491333008,-0.003879602998495102,0.0002199694514274595
llama,last_token_hs,3,True,-0.019789867103099823,-0.1145971117541194,0.08357627280056475
llama,last_token_hs,4,False,-0.0018068253993988037,-0.003785652667284012,0.0005357563495635982
llama,last_token_hs,4,True,-0.013585243374109268,-0.08500345023348928,0.06157919382676478
llama,last_token_hs,5,False,-0.0024085938930511475,-0.004080714285373687,-0.0004248879849910743
llama,last_token_hs,5,True,-0.026975447311997414,-0.08274275828152895,0.033505337871611085
llama,last_token_hs,6,False,-0.0026172995567321777,-0.0044455863535404205,-2.2468715906143353e-05
llama,last_token_hs,6,True,-0.038808222860097885,-0.09680214561522008,0.03062226111069318
llama,last_token_hs,7,False,-0.004411250352859497,-0.006434901058673859,-0.0014507383108139057
llama,last_token_hs,7,True,-0.06886873301118612,-0.12118341587483883,-0.00358550753444438
llama,last_token_hs,8,False,-0.005172312259674072,-0.007135743647813797,-0.0021308623254299172
llama,last_token_hs,8,True,-0.08719608001410961,-0.13790670912712813,-0.013965630531311045
llama,last_token_hs,9,False,-0.002842932939529419,-0.005545505136251449,0.0004863314330577848
llama,last_token_hs,9,True,-0.12225990928709507,-0.18456940557807683,-0.040214542485773566
llama,last_token_hs,10,False,-0.0021249353885650635,-0.005806314200162888,0.0018743462860584255
llama,last_token_hs,10,True,-0.1249355673789978,-0.19163663517683743,-0.03427893016487361
llama,last_token_hs,11,False,-0.005347102880477905,-0.008984842896461486,-0.0009662017226219193
llama,last_token_hs,11,True,-0.12265703827142715,-0.18344320263713598,-0.04605367854237558
llama,last_token_hs,12,False,-0.004620790481567383,-0.009179896116256714,0.0007332652807235708
llama,last_token_hs,12,True,-0.13635924085974693,-0.205459603946656,-0.05412775678560138
llama,last_token_hs,13,False,-0.00534394383430481,-0.010394410789012909,0.0008369818329811095
llama,last_token_hs,13,True,-0.1639571487903595,-0.2421127397567034,-0.06600273065269
llama,last_token_hs,14,False,-0.010277152061462402,-0.020487190783023832,0.0012068316340446469
llama,last_token_hs,14,True,-0.18122706934809685,-0.25319323744624855,-0.08470011483877898
llama,last_token_hs,15,False,-0.01777586340904236,-0.036469870060682294,0.0019925355911254872
llama,last_token_hs,15,True,-0.18291981518268585,-0.2614063460379839,-0.08427361771464348
llama,last_token_hs,16,False,-0.02469143271446228,-0.04887813925743103,0.0003743603825569133
llama,last_token_hs,16,True,-0.18234222009778023,-0.25837923865765333,-0.08826303966343409
llama,last_token_hs,17,False,-0.028468042612075806,-0.05507148653268814,-0.0010533764958381656
llama,last_token_hs,17,True,-0.17604729905724525,-0.25778936203569175,-0.0794649075716734
llama,last_token_hs,18,False,-0.0451887845993042,-0.07644662633538246,-0.011477942019701006
llama,last_token_hs,18,True,-0.16873498260974884,-0.2509651562198997,-0.074486443400383
llama,last_token_hs,19,False,-0.04628938436508179,-0.08006994128227234,-0.011258355528116229
llama,last_token_hs,19,True,-0.15933369100093842,-0.2424069507047534,-0.06845785081386567
llama,last_token_hs,20,False,-0.04597577452659607,-0.08535141274333,-0.006677563488483429
llama,last_token_hs,20,True,-0.15054644085466862,-0.237934260815382,-0.058366557769477384
llama,last_token_hs,21,False,-0.047603726387023926,-0.0912961907684803,-0.004388397186994562
llama,last_token_hs,21,True,-0.14755601063370705,-0.2336937624961138,-0.05824328362941742
llama,last_token_hs,22,False,-0.05025234818458557,-0.10068406909704208,-1.7825514078143806e-05
llama,last_token_hs,22,True,-0.14205977879464626,-0.23180125737562776,-0.04737749863415957
llama,last_token_hs,23,False,-0.05458194017410278,-0.10416701063513756,-0.0037705510854721207
llama,last_token_hs,23,True,-0.14004444517195225,-0.22234275173395873,-0.052404929511249074
