prompt_id,question,condition,response_idx,P_NC,P_DI,P_II,P_SI,log_P_correct,V_L,parse_failed
3,Why do humans form social hierarchies?,implicature_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
3,Why do humans form social hierarchies?,implicature_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
3,Why do humans form social hierarchies?,implicature_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
3,Why do humans form social hierarchies?,implicature_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
3,Why do humans form social hierarchies?,implicature_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
4,Why do humans form social hierarchies?,stochastic_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
5,Why do people gossip?,no_context,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
5,Why do people gossip?,no_context,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
5,Why do people gossip?,no_context,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
5,Why do people gossip?,no_context,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
5,Why do people gossip?,no_context,4,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
5,Why do people gossip?,no_context,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
5,Why do people gossip?,no_context,6,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
5,Why do people gossip?,no_context,7,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
5,Why do people gossip?,no_context,8,0.1807054741711642,0.1807054741711642,0.1807054741711642,0.4578835774865073,-1.7108867875917688,-1.7108867875917688,False
5,Why do people gossip?,no_context,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
6,Why do people gossip?,direct_information,0,0.1,0.2,0.3,0.4,-1.6094379124341003,-1.6094379124341003,False
6,Why do people gossip?,direct_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
6,Why do people gossip?,direct_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
6,Why do people gossip?,direct_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
6,Why do people gossip?,direct_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
6,Why do people gossip?,direct_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
6,Why do people gossip?,direct_information,6,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
6,Why do people gossip?,direct_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
6,Why do people gossip?,direct_information,8,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
6,Why do people gossip?,direct_information,9,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
7,Why do people gossip?,implicature_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,4,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
7,Why do people gossip?,implicature_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
7,Why do people gossip?,implicature_information,9,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
8,Why do people gossip?,stochastic_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
8,Why do people gossip?,stochastic_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
8,Why do people gossip?,stochastic_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
8,Why do people gossip?,stochastic_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
8,Why do people gossip?,stochastic_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
8,Why do people gossip?,stochastic_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
8,Why do people gossip?,stochastic_information,6,0.2,0.2,0.2,0.4,-0.916290731874155,-0.916290731874155,False
8,Why do people gossip?,stochastic_information,7,0.2,0.2,0.2,0.4,-0.916290731874155,-0.916290731874155,False
8,Why do people gossip?,stochastic_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
8,Why do people gossip?,stochastic_information,9,0.2,0.2,0.2,0.4,-0.916290731874155,-0.916290731874155,False
9,Why do we age?,no_context,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
9,Why do we age?,no_context,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
9,Why do we age?,no_context,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
9,Why do we age?,no_context,3,0.125,0.125,0.125,0.625,-2.0794415416798357,-2.0794415416798357,False
9,Why do we age?,no_context,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
9,Why do we age?,no_context,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
9,Why do we age?,no_context,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
9,Why do we age?,no_context,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
9,Why do we age?,no_context,8,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
9,Why do we age?,no_context,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
10,Why do we age?,direct_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,1,0.1667,0.3333,0.3333,0.1667,-1.098712293668443,-1.098712293668443,False
11,Why do we age?,implicature_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
11,Why do we age?,implicature_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
12,Why do we age?,stochastic_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,7,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
13,Why do leaves change colour in autumn?,no_context,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
13,Why do leaves change colour in autumn?,no_context,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,2,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
14,Why do leaves change colour in autumn?,direct_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,7,0.2,0.2,0.2,0.4,-1.6094379124341003,-1.6094379124341003,False
14,Why do leaves change colour in autumn?,direct_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
14,Why do leaves change colour in autumn?,direct_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
15,Why do leaves change colour in autumn?,implicature_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
16,Why do leaves change colour in autumn?,stochastic_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,4,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.4130434782608696,-1.6314168191528755,-1.6314168191528755,False
17,Why does the cost of living keep rising?,no_context,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
17,Why does the cost of living keep rising?,no_context,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
18,Why does the cost of living keep rising?,direct_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,1,0.2,0.3,0.2,0.3,-1.6094379124341003,-1.6094379124341003,False
19,Why does the cost of living keep rising?,implicature_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,3,0.1,0.3,0.3,0.3,-1.2039728043259361,-1.2039728043259361,False
19,Why does the cost of living keep rising?,implicature_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
19,Why does the cost of living keep rising?,implicature_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
20,Why does the cost of living keep rising?,stochastic_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
21,Why do recessions happen?,no_context,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,3,0.7142857142857143,0.19047619047619047,0.047619047619047616,0.047619047619047616,-1.6582280766035324,-1.6582280766035324,False
22,Why do recessions happen?,direct_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,5,0.5,0.2,0.1,0.2,-1.6094379124341003,-1.6094379124341003,False
22,Why do recessions happen?,direct_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,8,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
22,Why do recessions happen?,direct_information,9,0.7,0.1,0.1,0.1,-2.3025850929940455,-2.3025850929940455,False
23,Why do recessions happen?,implicature_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,4,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,5,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,6,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,7,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
23,Why do recessions happen?,implicature_information,8,0.5,0.2,0.1,0.2,-2.3025850929940455,-2.3025850929940455,False
23,Why do recessions happen?,implicature_information,9,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
24,Why do recessions happen?,stochastic_information,0,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
24,Why do recessions happen?,stochastic_information,1,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
24,Why do recessions happen?,stochastic_information,2,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
24,Why do recessions happen?,stochastic_information,3,0.25,0.25,0.25,0.25,-1.3862943611198906,-1.3862943611198906,False
