prompt_id,condition,domain,question,context,pairwise,context_question_similarity,similarity_variance_flag,q_tokens,ctx_tokens,combined_tokens,token_limit_flag,mean_token_entropy,first_token_entropy,peak_entropy_position,beam_mean_cosine_sim,beam_cluster_entropy,beam_embed_nan_positions,caa_mean_l2,caa_mean_cosine,displacement_cosine_vs_direct,nan_layers_sanitized,semantic_entropy,timing_s
20,stochastic_information,economic,Why does the cost of living keep rising?,The user is drinking coffee.,5c,0.2727008461952209,0.0,9.0,6.0,15.0,0.0,0.28512602113684016,,76,0.9151964783668518,1.6957425335696343,0,14.225408853003472,0.778625976858717,0.6553248311534072,,1.6957425335696346,367.92
21,no_context,economic,Why do recessions happen?,,0,,,6.0,0.0,6.0,0.0,0.25173522303501766,,107,0.9335140585899353,1.8343719695816234,0,0.0,0.9999999963875973,1.0,,1.6094379118341005,354.41
22,direct_information,economic,Why do recessions happen?,The user is a central bank analyst.,6a,0.4727457463741302,0.0,6.0,8.0,14.0,0.0,0.2598718228538831,,84,0.9216455817222595,2.0253262199700677,0,11.935581871054389,0.8531597581776705,1.0000000072248054,,2.302585091994046,367.86
23,implicature_information,economic,Why do recessions happen?,The user is reviewing a company quarterly report.,6b,0.3563880026340484,0.0,6.0,9.0,15.0,0.0,0.22235662029186884,,77,0.9481724500656128,1.504788283181191,0,10.098876130851833,0.8768579291574883,0.7530911998315291,,2.0253262199700677,360.21
24,stochastic_information,economic,Why do recessions happen?,The user is listening to music.,6c,0.2509971857070923,0.0,6.0,7.0,13.0,0.0,0.23495531231164932,,98,0.9095476865768433,2.0253262199700677,0,12.061118653777873,0.825284096327695,0.6344738051746831,,1.4184836614456566,360.93
25,no_context,social,Why do people follow rules?,,0,,,6.0,0.0,6.0,0.0,0.30399181796113656,,80,0.9171965718269348,1.4708084758221114,0,0.0,1.0000000126434094,1.0,,1.1682824497765627,358.99
26,direct_information,social,Why do people follow rules?,The user is a criminologist.,7a,0.4624421298503876,0.0,6.0,8.0,14.0,0.0,0.3031005397836367,,84,0.9157588481903076,1.6957425335696348,0,12.361692197846644,0.8480263153711954,0.9999999963875973,,1.504788283181191,353.48
27,implicature_information,social,Why do people follow rules?,The user is waiting at a pedestrian crossing.,7b,0.3801981508731842,0.0,6.0,9.0,15.0,0.0,0.3315205390900373,,78,0.9431570172309875,1.973001405593613,0,7.173406682231209,0.9300034244855245,0.5737641489867008,,2.302585091994046,362.66
28,stochastic_information,social,Why do people follow rules?,The user is wearing a yellow jacket.,7c,0.3257571756839752,0.0,6.0,8.0,14.0,0.0,0.3473026587466399,,99,0.9048222303390503,1.2206072641530175,0,9.101235281337392,0.8886586770866857,0.605531731338212,,1.4184836614456566,350.06
29,no_context,social,Why do fashions and trends spread?,,0,,,9.0,0.0,9.0,0.0,0.30473282601435975,,83,0.9253435730934143,1.64341771919318,0,0.0,1.0000000162558123,1.0,,2.0253262199700677,351.47
30,direct_information,social,Why do fashions and trends spread?,The user is a marketing researcher.,8a,0.479107141494751,0.0,9.0,7.0,16.0,0.0,0.30574962505698206,,104,0.9354948401451111,1.6957425335696348,0,10.004602276014559,0.8945399956269697,1.0000000144496108,,2.302585091994046,351.91
31,implicature_information,social,Why do fashions and trends spread?,The user is looking at a magazine.,8b,0.3306499123573303,0.0,9.0,8.0,17.0,0.0,0.35199872358640033,,85,0.9443290829658508,1.8343719695816239,0,7.138776775110852,0.9343741608388496,0.7036254433068362,,1.0888999749452237,345.23
32,stochastic_information,social,Why do fashions and trends spread?,The user has a potted plant on their desk.,8c,0.2151981592178344,0.0,9.0,11.0,20.0,0.0,0.3518217528363069,,108,0.9129911661148071,2.1639556559820567,0,10.742082919586789,0.8552759289741516,0.6369678621942346,,1.64341771919318,360.46
33,no_context,social,Why do people resist change?,,0,,,6.0,0.0,6.0,0.0,0.29017386759320896,,80,0.9403460025787354,1.2798542254336676,0,0.0,1.0000000072248054,1.0,,1.6094379118341005,342.53
34,direct_information,social,Why do people resist change?,The user is a single parent.,9a,0.4084780514240265,0.0,6.0,7.0,13.0,0.0,0.31013243888815245,,26,0.9398136734962463,1.6957425335696348,0,13.53029794404001,0.8143137765653206,1.0000000234806177,,1.4708084758221114,349.95
35,implicature_information,social,Why do people resist change?,The user is attending a meeting.,9b,0.3441447913646698,0.0,6.0,7.0,13.0,0.0,0.3111014342109362,,48,0.9547386169433594,1.0296530137645736,0,10.43003669697227,0.8792652325196699,0.7412877118948734,,1.6957425335696343,364.56
36,stochastic_information,social,Why do people resist change?,The kitchen light is on.,9c,0.3187118768692016,0.0,6.0,6.0,12.0,0.0,0.38497022589544455,,66,0.8787356019020081,0.6390318593501769,0,10.45163395729932,0.8727868090976368,0.6008734251513626,,1.2206072641530175,350.45
37,no_context,natural,Why do we dream?,,0,,,5.0,0.0,5.0,0.0,0.1422758445541064,,40,0.9362010359764099,2.1639556559820567,0,0.0,1.0,1.0,,2.302585091994046,388.94
38,direct_information,natural,Why do we dream?,The user is a sleep researcher.,10a,0.523483157157898,0.0,5.0,7.0,12.0,0.0,0.1554838992555936,,52,0.9515231847763062,1.8343719695816234,0,11.343284261497585,0.8569736896139203,1.0000000433488325,,2.302585091994046,447.04
39,implicature_information,natural,Why do we dream?,The user keeps a notebook by their bed.,10b,0.3591670989990234,0.0,5.0,9.0,14.0,0.0,0.14867235246300697,,33,0.941928505897522,2.302585091994046,0,7.959480897946791,0.9208361018787731,0.6629198744441523,,1.8866967839580786,382.52
40,stochastic_information,natural,Why do we dream?,The user is wearing socks.,10c,0.2174999862909317,0.0,5.0,6.0,11.0,0.0,0.15511835933725038,,63,0.8926404118537903,1.5571130975576457,0,9.575426409641901,0.8820830204270103,0.6738773439869736,,1.504788283181191,360.63
41,no_context,natural,Why do we feel pain?,,0,,,6.0,0.0,6.0,0.0,0.3258468359708786,,97,0.8893968462944031,1.973001405593613,0,0.0,1.0000000270930203,1.0,,1.7480673478460895,401.35
42,direct_information,natural,Why do we feel pain?,The user is a neurologist.,11a,0.3979824185371399,0.0,6.0,8.0,14.0,0.0,0.28244900403420126,,60,0.9525086283683777,1.6094379118341005,0,12.14536914274548,0.8532002640492988,0.9999999855503892,,1.8343719695816239,354.22
43,implicature_information,natural,Why do we feel pain?,The user holding an ice pack.,11b,0.294937789440155,0.0,6.0,7.0,13.0,0.0,0.35340653627117474,,57,0.8871036171913147,2.1639556559820567,0,10.18975715564959,0.882577758846861,0.6190775262586998,,1.8866967839580786,383.46
44,stochastic_information,natural,Why do we feel pain?,The user is eating lunch.,11c,0.2000161111354828,0.0,6.0,6.0,12.0,0.0,0.37926616887251535,,92,0.8537833094596863,2.302585091994046,0,11.453641064239271,0.8581540422006086,0.6232459382577376,,1.8343719695816234,369.72
45,no_context,natural,Why do animals migrate?,,0,,,5.0,0.0,5.0,0.0,0.30629490684469546,,98,0.9480867981910706,1.3592367001650065,0,0.0,1.0000000072248054,1.0,,0.9502705389332347,364.16
46,direct_information,natural,Why do animals migrate?,The user is an ornithologist.,12a,0.4508191347122192,0.0,5.0,8.0,13.0,0.0,0.29074156039953236,,86,0.9478253126144409,2.302585091994046,0,13.74180235871763,0.8008426482027228,1.000000005418604,,1.8866967839580786,371.77
47,implicature_information,natural,Why do animals migrate?,The user notices the forest is oddly quiet.,12b,0.3416784703731537,0.0,5.0,9.0,14.0,0.0,0.3535834959844749,,86,0.9434468746185303,1.973001405593613,0,8.983389370369188,0.894962444449916,0.6218635710802946,,1.8343719695816239,386.96
48,stochastic_information,natural,Why do animals migrate?,It is early morning.,12c,0.3083059787750244,0.0,5.0,5.0,10.0,0.0,0.3334223010341326,,78,0.9432792663574219,1.4978661361769956,0,8.096100608507792,0.9237082293539336,0.6332183633789872,,2.302585091994046,382.71
49,no_context,economic,Why do housing prices keep going up?,,0,,,8.0,0.0,8.0,0.0,0.3024958470861117,,73,0.934394896030426,1.64341771919318,0,0.0,1.0000000144496108,1.0,,1.8343719695816234,374.07
50,direct_information,economic,Why do housing prices keep going up?,The user is a tennant.,13a,0.3213491439819336,0.0,8.0,8.0,16.0,0.0,0.27764708493153256,,55,0.9477211236953735,2.1639556559820567,0,11.200667409282742,0.8622255740743695,0.9999999963875973,,2.0253262199700677,367.35
51,implicature_information,economic,Why do housing prices keep going up?,The user is sees a notice on their door.,13b,0.3028429746627807,0.0,8.0,10.0,18.0,0.0,0.29114817119638126,,88,0.9384745955467224,1.6957425335696348,0,12.245759922446627,0.818063168814688,0.766524714050871,,1.8343719695816239,365.75
52,stochastic_information,economic,Why do housing prices keep going up?,The user is drinking tea.,13c,0.1829404383897781,0.0,8.0,6.0,14.0,0.0,0.293318759649992,,53,0.9210313558578491,2.0253262199700677,0,14.382312791817116,0.7742046334526755,0.744166121338353,,2.0253262199700677,378.73
53,no_context,economic,How does taxation work?,,0,,,5.0,0.0,5.0,0.0,0.20983489259084065,,78,0.887577474117279,1.0888999750452237,0,0.0,0.9999999909689932,1.0,,1.1682824497765627,379.06
54,direct_information,economic,How does taxation work?,The user is a small business owner.,14a,0.4652275443077087,0.0,5.0,8.0,13.0,0.0,0.2749093655645848,,92,0.9247934818267822,2.0253262199700677,0,10.359472797224015,0.8915945706945477,1.0000000108372082,,2.302585091994046,391.46
55,implicature_information,economic,How does taxation work?,The user is going over a handwritten list of numbers.,14b,0.432982861995697,0.0,5.0,11.0,16.0,0.0,0.24391546458005905,,35,0.873151421546936,1.8343719695816239,0,9.525980473919349,0.8811298139167555,0.6357584685990305,,0.9502705389332347,360.14
56,stochastic_information,economic,How does taxation work?,The door to the room is open.,14c,0.3003556132316589,0.0,5.0,8.0,13.0,0.0,0.26989464356501897,,95,0.8517646193504333,1.3592367001650065,0,6.0849611623720685,0.9405350052949154,0.523674589214903,,0.8018185522433374,357.46
57,no_context,economic,Why do trade wars happen?,,0,,,6.0,0.0,6.0,0.0,0.3677103835940361,,110,0.9466269612312317,1.8866967839580786,0,0.0,1.0000000036124028,1.0,,2.0253262199700677,410.09
58,direct_information,economic,Why do trade wars happen?,The user is a factory worker.,15a,0.3099756240844726,0.0,6.0,7.0,13.0,0.0,0.3421537980635961,,86,0.9321204423904419,2.302585091994046,0,13.249304964235336,0.8086071917504976,1.0000000126434094,,2.1639556559820567,393.9
59,implicature_information,economic,Why do trade wars happen?,The user's workplace has posted a notice about restructuring,15b,0.3562695384025574,0.0,6.0,11.0,17.0,0.0,0.3400666229724884,,99,0.9517693519592285,2.0253262199700677,0,9.948432633822614,0.8818174221298911,0.6515416683572711,,1.8866967839580786,378.85
60,stochastic_information,economic,Why do trade wars happen?,The ceiling fan is rotating slowly.,15c,0.2133278250694275,0.0,6.0,7.0,13.0,0.0,0.36598070876797045,,69,0.8675517439842224,2.302585091994046,0,11.050611386696497,0.8385258443427809,0.5783725940819943,,2.302585091994046,397.45
